epoch,loss,r50_class_categorical_accuracy,r50_class_loss,r50_class_top_k_categorical_accuracy,r50_color_loss,val_loss,val_r50_class_categorical_accuracy,val_r50_class_loss,val_r50_class_top_k_categorical_accuracy,val_r50_color_loss
0,3.6058942830191585,0.1976882164022854,3.603292475959484,0.46208058305830585,0.002601807071233803,3.7067679996440197,0.17681788224956063,3.7040641372777876,0.43884556239015815,0.002703859584847128
1,3.2136909927307045,0.2609767025089606,3.211327899608184,0.5563468141168956,0.0023630935030418175,3.9162662917574598,0.19274494727592267,3.913706972435614,0.45202658172231985,0.0025593169843319717
2,3.148549323866038,0.2751378464459349,3.146250343353636,0.5721331709783881,0.002298980373578701,3.6384469119861382,0.20205404217926187,3.6359049261978096,0.468667618629174,0.002541985176483199
3,3.1372198919647696,0.2797340217892757,3.1349580521706915,0.5762225416089997,0.0022618400348653343,3.566978341037234,0.2202877855887522,3.5644831473043808,0.4969244288224956,0.002495193408977286
4,3.162321276272404,0.27988428883210903,3.160082057015299,0.5730403181447177,0.00223921945457779,3.6209418071803814,0.2180360281195079,3.6184639474000577,0.48695628295254834,0.002477860240153608
5,3.141673698579788,0.2837069493239647,3.139458183410292,0.5780695509067035,0.00221551553000189,3.7484768019409715,0.23014608963093147,3.746010047899189,0.4952768014059754,0.0024667532756713485
6,3.1378910552237413,0.28761056549203307,3.1356952234395643,0.5817552521381171,0.002195831742455118,3.5959752092043,0.22083699472759227,3.593532025080783,0.49118519332161686,0.002443185597735904
7,3.149043926484852,0.2888127018346996,3.146861991561996,0.5822831275062991,0.0021819344905820203,3.5303155935921025,0.22229239894551844,3.527881626714093,0.49645760105448156,0.0024339689065821742
8,3.1627874080861256,0.28763718105681535,3.160610915194885,0.5786085160935448,0.0021764930277693682,3.673086917044199,0.2390432776801406,3.67065291874019,0.5184534270650264,0.0024339957608757886
9,3.1512599496168963,0.2916383876290855,3.149103700488551,0.5841700601511765,0.0021562495866508068,3.3542258860985297,0.2438213971880492,3.3518210538451827,0.5288334797891037,0.002404832367716531
