epoch,loss,val_loss,val_x_class_categorical_accuracy,val_x_class_loss,val_x_class_top_k_categorical_accuracy,val_x_color_loss,x_class_categorical_accuracy,x_class_loss,x_class_top_k_categorical_accuracy,x_color_loss
0,3.612579488133245,3.111576867648294,0.26688818101933215,3.1090899659795377,0.5676900263620387,0.002486900370694887,0.1962570753043046,3.6099970659576277,0.4609028443166897,0.0025824214954955496
1,3.2353149222838598,3.202036460380353,0.2801790421792619,3.1994094335341496,0.5768068980667839,0.0026270283674796704,0.2585818561694879,3.232959603325419,0.5513103729727812,0.0023553193029355814
2,3.158789368037314,3.060688008218742,0.29822056239015815,3.058098676753589,0.601164323374341,0.0025893327964613827,0.2730873389758331,3.1564936537448007,0.5689997427162071,0.0022957144256600497
3,3.137132153572304,2.9222124839080448,0.31606985940246046,2.919705274863486,0.625521748681898,0.002507208835461254,0.2795615751091238,3.134871167413447,0.5754196387380673,0.002260986018860367
4,3.1431154247891966,3.1635803829597045,0.3062115553602812,3.1610878877773856,0.6099516695957821,0.0024924954031806876,0.2805640947159232,3.140878519693689,0.5759641488342383,0.0022369051414042247
5,3.164495199295816,2.918481861769839,0.3115938049209139,2.9160236964535837,0.6213202987697716,0.0024581604306987094,0.28099382518897054,3.1622781172194334,0.5746256077220625,0.002217082588055941
6,3.165100886830292,2.887393994364881,0.3190081282952548,2.884994088974904,0.6297506590509666,0.0023999057046460194,0.2820634381986586,3.162898306365788,0.5753802698818269,0.002202580955288957
7,3.1548844478180174,2.9331842179038614,0.3235391036906854,2.9306206635096372,0.6348857644991213,0.002563555669984723,0.2837607349444622,3.152692968672597,0.5768651966003052,0.0021914794920723595
8,3.1268297856451963,2.905699194525164,0.3220013181019332,2.903218252797118,0.6321397188049209,0.0024809438824450664,0.2892113808155009,3.1246543264595483,0.5835152063593456,0.0021754595864792196
9,3.1016078162233063,3.2721170918174702,0.3110171353251318,3.269716760919467,0.6182172671353251,0.0024003302886131134,0.2934488005252138,3.0994456983715906,0.5890323911423401,0.002162118266316575
